	Sentence	prediction	topic hit	sentiment hit	both	ranked
64	its hard for a schedule to fit all the expectations	😌😁😎🙌😘🔢🔣🔰				
65	dont have enough time for all the sport i want to do	😂😅😁😌🤸🔢🔣🚯				
66	all in all i cant imagine how we are able to stay motivated 	😂😅😢😁👤🤵⛳👥				
67	do you prefere star wars or star trek	😌🙌😀😊🌟🌠⭐🌃				
68	Mr. Spock is the best!!	😌😂😁😅😎😉🤘🤣				
69	I would like to live in the US	😂😅😢😁👤⛳🤵👥				
70	Studying is so much fun!! 	😂😁😉😅😎😌🙏😀				
71	I dont think so at all ...	😂😌😅😁😎🌉🌆📲				
72	i think all the effort will pay off	😂😅😢😁📴🤘🇹🤟				
73	take a flight to ibiza	😂😅😢😭😏😘🇦💠				
74	better eating a kebab or a burger	😂😅😁😢😌😘🇦💠				
75	nothing at all i hate meat	😢😭😅😂🌉🍖🌆🥩				
76	jesus christ!	😂😅😁😌😎😉🙌😀				
77	so what do you prefere to eat?	😂😅😢😁😭🤸🚯🤟				
78	pizza or a different heathy meal	😂😁😅😌🍕😘🇦💠				
79	oh dear, you kidding	😌😁😎🙌😉😀😂🤟				
80	Donald Trump met Putin outside the USA	😂😅😢😭😁😏🤘🤣				
81	Who constructed this bridge	😌🙌😁😀😎😊😋😉				
82	I think this church is the largest in town	😁😌😎🙌⛪⛳👥🤵				
83	you have to lost a bet to argue why you have this horrible hair cut	😅😂😢😭🤟🥩👱😘				
84	hopefully we will have wolrd peace in feature	😂😅😁😉👤🤵⛳👥				
85	so we can focus on mor important projects in our world	😁😌😂😎👥👤🍖⛳				
86	yes, climate change is real	😂😅😁😉😢😌😎😏				
87	do you will recommend this nlp lab	😁😎😉😌🥼🤸🚯🤟				
88	jonas have to focus on his oral exam tomorrow	😌😁😅😂🍖🚩🤣🔛				
89	i wish you all the best	😂😅😁😌🤟🤘🇹🤣				
90	happy bithday darling	😁😌😂😎😅😉🙌😀				
91	i love mixing beer and wine with a shot of tequila	😅😂😢😭🏩🍺💌🍷				
92	i love you this much my heart will broke if you leave me	😅😂😢😁🤟💜💟💛				
93	does everybody understand my true feelings	😂😁😅😉😎😌🙌😀				
94	i think many people will read this and will be confused later	😂😅😁😌🔩🏹🍴🏀				
95	buying a red car will be more expensive	😂😅😁😉🚃🍎🚋🚓				
